source,target,edge_type,samples,weighted_samples,success_count_24h,failure_count_24h,hit_rate_24h,avg_signed_return_24h_pct,reliability_score,verdict
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,6,5.7351,6,0,100.0,0.6676,5.8676,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,SOURCE_SUPPORTS_ROOT_CAUSE,14,13.3916,13,1,92.86,1.0338,5.7865,MIN_SAMPLE_PROMISING_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:SHORT_0_SCORE_50_59,ROOT_CAUSE_CONTEXTUALIZES_DECISION,1,0.954,1,0,100.0,0.6924,5.7257,LOW_SAMPLE_EDGE
DECISION_CONTEXT:SHORT_0_SCORE_50_59,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,1,0.954,1,0,100.0,0.6924,5.7257,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,ROOT_CAUSE_CONTEXTUALIZES_DECISION,3,2.8821,3,0,100.0,0.5747,5.6747,LOW_SAMPLE_EDGE
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,2.8821,3,0,100.0,0.5747,5.6747,LOW_SAMPLE_EDGE
NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,NARRATIVE_SUPPORTS_ROOT_CAUSE,30,28.7586,27,3,90.0,0.6028,5.6028,RESEARCH_POSITIVE_EDGE
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,6,5.715,6,0,100.0,0.1779,5.3779,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,10,9.5862,9,1,90.0,0.6028,4.9361,MIN_SAMPLE_PROMISING_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,10,9.5862,9,1,90.0,0.6028,4.9361,MIN_SAMPLE_PROMISING_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,SOURCE_SUPPORTS_ROOT_CAUSE,10,9.5862,9,1,90.0,0.6028,4.9361,MIN_SAMPLE_PROMISING_EDGE
EVIDENCE_SOURCE:MANUAL_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,7,6.7235,6,1,85.71,0.3345,4.1388,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:MANUAL_EVENTS,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,SOURCE_SUPPORTS_ROOT_CAUSE,7,6.7235,6,1,85.71,0.3345,4.1388,LOW_SAMPLE_EDGE
NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,NARRATIVE_SUPPORTS_ROOT_CAUSE,6,5.8738,4,2,66.67,0.2334,2.1004,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,ROOT_CAUSE_CONTEXTUALIZES_DECISION,9,8.6004,6,3,66.67,-0.0601,1.9069,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,SOURCE_SUPPORTS_ROOT_CAUSE,5,4.9311,3,2,60.0,-0.6716,0.4951,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,OUTCOME:ROOT_CAUSE_MISS_24H,DECISION_OBSERVED_OUTCOME,3,2.8854,0,3,0.0,-0.5361,-5.4361,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,OUTCOME:ROOT_CAUSE_MISS_24H,ROOT_CAUSE_TESTED_BY_OUTCOME,5,4.9538,0,5,0.0,-1.7305,-6.5638,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,SOURCE_SUPPORTS_NARRATIVE,2,2.0684,0,2,0.0,-3.5222,-8.4555,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_0_SCORE_40_49,ROOT_CAUSE_CONTEXTUALIZES_DECISION,2,2.0684,0,2,0.0,-3.5222,-8.4555,LOW_SAMPLE_EDGE
